nome,cpf,cartao,saldo,data
João Silva,12345678901,123456789012,1000.50,20231001
Maria Oliveira,98765432109,987654321098,2500.75,20231002
Carlos Souza,45678912304,456789123045,500.00,20231003
Ana Costa,32165498703,321654987032,1200.30,20231004
Pedro Lima,78912345607,789123456078,300.90,20231005
Luiza Mendes,65498732105,654987321054,4500.25,20231006
Fernando Rocha,14725836901,147258369012,600.60,20231007
Juliana Alves,25836914702,258369147023,700.40,20231008
Ricardo Nunes,36925814703,369258147034,800.20,20231009
Camila Freitas,15935748604,159357486045,900.10,20231010
